district_std,RMSE,MAE,Bias,NRMSE
Alipurduar,12.647191047668457,4.98639600276947,0.33590639859437943,1.1536104368968283
Kalimpong,12.037549018859863,4.781909379959107,-0.37196040004491804,1.057665016894291
Jalpaiguri,11.705484390258789,4.733508610725403,0.665166512131691,1.1342664246373886
Cooch Behar,11.331830978393555,4.987723932266236,0.6930357635021209,1.1022851912740703
Darjeeling,10.778548240661621,4.633940863609314,0.25073370695114133,1.0363349251508804
Kolkata,7.602300643920898,3.047911820411682,-0.21191073551774026,1.4514468941758474
South 24 Parganas,7.339308261871338,2.8940014314651488,-0.2803927955031395,1.3646155665321658
Howrah,7.0958757400512695,2.973734450340271,-0.08017039217054844,1.4214803571372086
North 24 Parganas,7.073217391967773,2.952983114719391,-0.19987256303429604,1.339611341447812
Uttar Dinajpur,6.891709327697754,3.0583533453941345,0.44341291666030885,1.1922080873174354
Nadia,6.862679481506348,2.827937250137329,-0.07509978532791138,1.3509967905612073
Purba Medinipur,6.807401180267334,2.711233985424042,-0.10049399323761463,1.370565914796112
Dakshin Dinajpur,6.712558746337891,2.9257024812698362,0.12481316059827804,1.2316461907417564
Hooghly,6.652977466583252,2.8153947257995604,-0.05308105241507292,1.344564512304155
Paschim Medinipur,6.599664688110352,2.7504226326942445,-0.060906948968768124,1.356714373443359
Maldah,5.694772338867187,2.9996987700462343,0.4319183769822121,1.3212420202424182
Jhargram,5.616144475936889,2.7902536725997926,0.17463063687086106,1.441233131485868
Purba Bardhaman,5.3474662971496585,2.687584934234619,0.032231725081801416,1.3085112964401973
Bankura,5.066691555976868,2.5980409598350525,0.12107019156217574,1.3191329120023636
Murshidabad,4.9750893115997314,2.651009831428528,0.27174523025751113,1.2423057348269846
Purulia,4.90132098197937,2.5637771844863892,0.3045441761612892,1.2966591691060525
Birbhum,4.876335082054138,2.5544640469551085,0.2385473558306694,1.266403474525888
Paschim Bardhaman,4.733974485397339,2.576158332824707,0.20581477269530296,1.2529235099497567
